number	depth
1	1
1;11	3
1;12	3
1;13	3
1;2	2
1;21	3
2	1
2;011	4
2;012	4
2;0121	5
2;0122	5
2;0123	5
2;0124	5
2;013	4
2;014	4
2;0141	5
2;02	3
2;0201	5
2;021	4
2;0212	5
2;022	4
2;023	4
2;0231	5
2;0232	5
2;0233	5
2;025	4
2;026	4
2;027	4
2;03	3
2;031	4
2;032	4
2;033	4
2;04	3
2;05	3
2;06	3
2;061	4
2;062	4
2;063	4
2;1	2
2;11	3
2;12	3
2;131	4
2;141	4
2;15	3
2;1511	5
2;1512	5
2;15121	6
2;1515	5
2;16	3
2;161	4
2;17	3
2;172	4
2;18	3
2;182	4
2;19	3
2;2	2
2;201	4
2;202	4
2;203	4
2;22	3
2;221	4
2;222	4
2;223	4
2;224	4
2;225	4
3	1
3;001	4
3;01	3
3;02	3
3;03	3
3;031	4
3;032	4
3;0321	5
3;1	2
3;11	3
3;12	3
3;13	3
3;14	3
3;141	4
3;142	4
3;143	4
3;1431	5
3;144	4
3;2	2
3;201	4
3;202	4
3;203	4
3;21	3
3;23	3
3;24	3
3;25	3
3;261	4
3;3	2
3;31	3
3;312	4
3;313	4
3;314	4
3;315	4
3;316	4
3;317	4
3;318	4
3;32	3
3;321	4
3;322	4
3;324	4
3;325	4
3;326	4
3;327	4
3;328	4
3;331	4
3;333	4
3;334	4
3;34	3
3;341	4
3;3411	5
3;342	4
3;3421	5
3;344	4
3;3441	5
3;3442	5
3;4	2
3;411	4
3;42	3
4	1
4;001	4
4;022	4
4;003	4
4;0031	5
4;011	4
4;012	4
4;013	4
4;014	4
4;015	4
4;02	3
4;021	4
4;022	4
4;023	4
4;024	4
4;027	4
4;03	3
4;031	4
4;0311	5
4;032	4
4;04	3
4;041	4
4;0411	5
4;0412	5
4;06	3
4;061	4
4;062	4
4;0621	5
4;063	4
4;064	4
4;0641	5
4;11	3
4;111	4
4;112	4
4;113	4
4;114	4
4;115	4
4;116	4
4;1211	5
4;1212	5
4;1213	5
4;122	4
4;123	4
4;125	4
4;127	4
4;1271	5
4;1272	5
4;12721	6
4;1274	5
4;128	4
4;2	2
4;211	4
4;22	3
4;2211	5
4;23	3
4;241	4
4;243	4
4;25	3
4;26	3
4;28	3
4;3	2
4;31	3
4;4	2
4;41	3
4;411	4
4;42	3
4;43	3
4;431	4
4;44	3
4;441	4
4;442	4
4;45	3
4;46	3
4;461	4
4;462	4
4;463	4
4;464	4
4;465	4
4;466	4
4;4661	5
4;5	2
4;51	3
4;52	3
5	1
5;01	3
5;02	3
5;1	2
5;11	3
5;12	3
5;121	4
5;122	4
5;123	4
5;124	4
5;1241	5
5;13	3
5;131	4
5;1311	5
5;132	4
5;133	4
5;134	4
5;135	4
5;1361	5
5;1362	5
5;1363	5
5;141	4
5;142	4
5;15	3
5;151	4
5;153	4
5;154	4
5;155	4
5;156	4
5;2	2
5;21	3
5;22	3
5;23	3
5;231	4
5;232	4
5;233	4
5;234	4
5;2341	5
5;24	3
5;241	4
5;242	4
5;251	4
5;2521	5
5;2522	5
5;2523	5
5;253	4
5;254	4
5;3	2
5;32	3
5;41	3
5;42	3
5;43	3
5;44	3
5;441	4
5;442	4
5;451	4
5;452	4
5;453	4
5;454	4
5;461	4
5;47	3
5;471	4
5;4711	5
5;472	4
5;473	4
5;4731	5
5;4732	5
5;4733	5
5;476	4
5;5	2
5;501	4
5;502	4
5;51	3
5;512	4
5;513	4
5;514	4
5;515	4
5;5151	5
5;521	4
5;522	4
5;523	4
5;524	4
5;525	4
5;5261	5
5;5262	5
5;5301	5
5;5302	5
5;5303	5
5;531	4
5;532	4
5;533	4
5;535	4
5;5351	5
5;5352	5
5;54	3
5;541	4
5;542	4
5;5422	5
5;5423	5
5;55	3
5;551	4
5;552	4
5;5521	5
5;553	4
5;554	4
5;5541	5
5;5542	5
5;555	4
5;556	4
5;5561	5
5;5562	5
5;557	4
5;5571	5
5;61	3
5;62	3
5;63	3
5;631	4
5;632	4
5;633	4
5;6331	5
5;634	4
5;64	3
5;641	4
6	1
6;002	4
6;01	3
6;021	4
6;03	3
6;031	4
6;11	3
6;111	4
6;112	4
6;113	4
6;12	3
6;1201	5
6;1202	5
6;121	4
6;122	4
6;1221	5
6;1223	5
6;1232	5
6;1233	5
6;124	4
6;125	4
6;1251	5
6;126	4
6;1261	5
6;1262	5
6;1263	5
6;1264	5
6;1265	5
6;127	4
6;1271	5
6;13	3
6;2	2
6;21	3
6;22	3
6;231	4
6;232	4
6;2321	5
6;2322	5
6;2323	5
6;233	4
6;2331	5
6;234	4
6;2341	5
6;24	3
6;241	4
6;31	3
6;32	3
6;321	4
6;3211	5
6;33	3
6;341	4
6;342	4
6;343	4
6;3431	5
6;3432	5
6;35	3
6;36	3
6;361	4
6;3611	5
6;36111	6
6;363	4
6;37	3
6;371	4
6;372	4
6;373	4
6;375	4
6;3751	5
6;4	2
6;41	3
6;421	4
6;422	4
6;423	4
6;4311	5
6;4312	5
6;432	4
6;4321	5
6;44	3
6;45	3
6;5	2
6;51	3
6;52	3
6;521	4
6;522	4
6;53	3
7	1
